SID,Days online 2,Views 2,Contributions 2,Questions 2,Days online 3,Views 3,Contributions 3,Questions 3,Days online 4,Views 4,Contributions 4,Questions 4,Days online 5,Views 5,Contributions 5,Questions 5,Days online,Views,Contributions,Questions
300773633,7,31,4,1,7,32,4,0,3,14,3,0,3,32,4,3,20,109,15,4
315500979,0,0,0,0,1,28,1,1,4,13,1,1,5,10,3,1,10,51,5,3
317547296,3,24,0,0,7,67,1,1,5,6,1,1,4,33,1,1,19,130,3,3
319549896,3,53,1,1,0,0,0,0,7,16,1,0,5,68,0,0,15,137,2,1
320250819,7,47,0,0,3,22,0,0,2,26,0,0,3,36,0,0,15,131,0,0
326285587,7,73,0,0,4,55,1,1,7,16,0,0,7,70,0,0,25,214,1,1
330794979,3,0,1,1,0,0,0,0,3,0,0,0,3,21,0,0,9,21,1,1
333306652,7,0,1,1,0,0,0,0,6,1,1,1,4,6,0,0,17,7,2,2
352120481,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
360594548,2,30,4,3,7,37,4,0,0,0,0,0,2,22,4,3,11,89,12,6
363393232,2,49,0,0,4,74,0,0,4,19,1,1,6,8,0,0,16,150,1,1
384087855,6,25,5,4,0,0,0,0,0,0,0,0,7,31,4,2,13,56,9,6
388963652,7,18,1,0,0,0,0,0,0,0,0,0,7,23,1,0,14,41,2,0
394589352,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,1,0,0
396913155,7,14,1,0,0,0,0,0,7,10,1,1,1,16,2,2,15,40,4,3
